,src_ip,src_port,dst_ip,dst_port,protocol,requested_server_name,application_name
186,192.168.0.101,63503,192.168.1.1,53,17,gif.media.qpic.cn,DNS
187,192.168.0.101,62116,110.219.129.53,443,6,gif.media.qpic.cn,TLS
188,192.168.0.101,62115,120.204.207.155,443,6,vv.video.qq.com,TLS.QQ
189,192.168.0.101,52250,192.168.1.1,53,17,rumt-zh.com,DNS
190,192.168.0.101,56573,192.168.1.1,53,17,tips.video.qq.com,DNS.QQ
191,192.168.0.101,61781,192.168.1.1,53,17,api-adservices.apple.com,DNS.Apple
192,192.168.0.101,62120,111.41.49.182,443,6,,TLS
193,192.168.0.101,59947,192.168.1.1,53,17,pgdt.gtimg.cn.sched.legopic2-dk.tdnsv6.com,DNS
194,192.168.0.101,60445,192.168.1.1,53,17,pay.video.qq.com,DNS.QQ
195,192.168.0.101,56833,192.168.1.1,53,17,ilive.qq.com,DNS.QQ
196,192.168.0.101,58036,192.168.1.1,53,17,iadsdk.qtlcdn.com,DNS
197,192.168.0.101,55949,192.168.1.1,53,17,api.ilive.qq.com,DNS.QQ
198,192.168.0.101,50232,192.168.1.1,53,17,hpalcvha.sched.sma-dk.tdnsstic1.cn,DNS
199,192.168.0.101,59685,192.168.1.1,53,17,kqe2f4dz.sched.d0-dk.tdnsdp1.cn,DNS
200,192.168.0.101,64768,192.168.1.1,53,17,api.ilive.qq.com,DNS.QQ
201,192.168.0.101,62122,36.155.228.101,443,6,api.ilive.qq.com,TLS.QQ
202,192.168.0.101,62123,117.185.137.148,443,6,ilive.qq.com,TLS.QQ
203,192.168.0.101,60150,192.168.1.1,53,17,ins-9o94331w.ias.tencent-cloud.net,DNS
204,192.168.0.101,64053,192.168.1.1,53,17,broker.tips.gz.tencent.com,DNS
205,192.168.0.101,50659,192.168.1.1,53,17,apd-vodp2plogin.teg.tencent-cloud.net,DNS
206,192.168.0.101,59394,223.109.42.123,61762,6,,Unknown
207,192.168.0.101,62146,113.108.81.184,80,6,livep.l.qq.com,HTTP.QQ
208,192.168.0.101,51908,192.168.1.1,53,17,tab.video.qq.com,DNS.QQ
209,192.168.0.101,59391,43.136.3.215,8883,6,,TLS
210,192.168.0.101,59401,117.135.139.23,443,6,richmedia.video.qq.com,TLS.QQ
211,192.168.0.106,49307,239.255.255.250,1900,17,239.255.255.250:1900,SSDP
212,192.168.0.101,65173,192.168.1.1,53,17,x.research.qq.com,DNS.QQ
213,192.168.0.101,53399,192.168.1.1,53,17,apd-vodp2pnat.teg.tencent-cloud.net,DNS
214,192.168.0.101,62127,183.194.204.32,443,6,api6.poll.video.qq.com,TLS.QQ
215,192.168.0.101,35161,36.143.4.160,7832,17,,Unknown
216,192.168.0.101,20312,36.158.240.16,60851,17,,Unknown
217,192.168.0.101,59395,112.60.22.63,24863,6,,Unknown
218,192.168.0.101,60447,192.168.1.1,53,17,m.v.qq.com,DNS.Tencentvideo
219,192.168.0.101,35161,117.144.240.184,11065,17,,Unknown
220,192.168.0.101,59402,120.220.148.139,80,6,ltscsy.qq.com,HTTP.QQ
221,192.168.0.101,14671,36.158.240.18,20851,17,,Unknown
222,192.168.0.101,35161,120.241.139.217,8000,17,,Unknown
